name,bioguide_id,state,district,party,role,twitter,facebook,youtube,instagram,website
Jahana Hayes,H001081,CT,5,Democrat,Representative,RepJahanaHayes,RepJahanaHayes,UCXngpVME5LZjcdXxZQxSDQA,repjahanahayes,https://hayes.house.gov
W. Steube,S001214,FL,17,Republican,Representative,RepGregSteube,RepGregSteube,@RepGregSteube,repgregsteube,https://steube.house.gov
Lucy McBath,M001208,GA,6,Democrat,Representative,RepLucyMcBath,RepLucyMcBath,,replucymcbath,https://mcbath.house.gov
Russ Fulcher,F000469,ID,1,Republican,Representative,RepRussFulcher,RepRussFulcher,UCx2AS0O5frzPB8D6TqJ3Mqg,RepRussFulcher,https://fulcher.house.gov
Jesús García,G000586,IL,4,Democrat,Representative,RepChuyGarcia,RepChuyGarcia,,,https://chuygarcia.house.gov
Sean Casten,C001117,IL,6,Democrat,Representative,RepCasten,RepSeanCasten,,repseancasten,https://casten.house.gov
Lauren Underwood,U000040,IL,14,Democrat,Representative,RepUnderwood,,,,https://underwood.house.gov
James Baird,B001307,IN,4,Republican,Representative,RepJimBaird,RepJimBaird,UCAe6fGhotC9J9tR_QONYzFA,,https://baird.house.gov
Sharice Davids,D000629,KS,3,Democrat,Representative,RepDavids,,,,https://davids.house.gov
Lori Trahan,T000482,MA,3,Democrat,Representative,RepLoriTrahan,reploritrahan,UCsRXg0BmoS4Rkjz-pqX1PmQ,reploritrahan,https://trahan.house.gov
